Unnamed: 0,Never,Once by Year 3,Once by Year 6,More than Once By Year 3,More than Once By Year 6
2004/2009 Survey,0.612,0.292,0.323,0.061,0.065
2012/2017 Survey,0.397,0.227,0.33,0.061,0.274
