Year,China,United States of America,Japan,Republic of Korea,Germany
1985,1.0,1222,13323,235,323
1986,93.0,1402,16125,260,274
1987,102.0,1740,16502,372,305
1988,68.0,1631,18497,531,262
1989,58.0,2137,18613,781,289
1990,56.0,2195,18575,954,355
1991,59.0,2713,17672,1075,365
1992,54.0,2752,23112,1414,441
1993,48.0,3022,21132,1467,410
1994,98.0,3684,18437,1653,381
1995,169.0,3790,15407,2119,441
1996,336.0,3769,14069,2655,424
1997,522.0,4229,14211,4303,625
1998,788.0,5785,15868,5503,740
1999,953.0,7228,17301,5473,757
2000,716.0,8600,17173,8275,659
2001,906.0,14095,16353,9773,887
2002,1458.0,19126,16791,8190,1105
2003,2639.0,16102,17152,8278,1177
2004,3777.0,16251,19408,9464,1211
2005,5742.0,17268,18996,10831,1328
2006,6219.0,16781,19935,14237,1154
2007,7367.0,17102,20144,14724,1162
2008,8486.0,16802,20003,13729,1266
2009,8677.0,16157,19655,12750,1222
2010,8965.0,16500,18891,12454,1101
2011,11782.0,16995,17221,12204,1047
2012,15271.0,17693,17345,11259,1192
2013,15530.0,17936,17775,11302,1200
2014,17544.0,19613,14412,11549,1290
2015,17340.0,20228,12876,10543,1296
2016,17551.0,19699,11158,10566,1262
2017,18583.0,19220,11643,8738,1296
2018,23061.0,18357,9504,8372,1151
2019,26766.0,19199,9539,9104,1393
2020,28218.0,21019,9460,8897,1384
2021,30562.0,20831,10152,9220,1476
2022,35344.0,22030,9679,9259,1265
2023,30675.0,19653,8700,8196,1071
2024,33264.0,20825,8104,8863,1095
