Year,Doctorate recipients (number),% change from previous year
1958,8773,-
1959,9213,5
1960,9733,5.6
1961,10413,7
1962,11500,10.4
1963,12728,10.7
1964,14325,12.5
1965,16340,14.1
1966,17949,9.8
1967,20403,13.7
1968,22937,12.4
1969,25743,12.2
1970,29498,14.6
1971,31867,8
1972,33041,3.7
1973,33755,2.2
1974,33047,-2.1
1975,32952,-0.3
1976,32946,*
1977,31716,-3.7
1978,30875,-2.7
1979,31238,1.2
1980,31019,-0.7
1981,31355,1.1
1982,31108,-0.8
1983,31280,0.6
1984,31334,0.2
1985,31295,-0.1
1986,31897,1.9
1987,32365,1.5
1988,33497,3.5
1989,34325,2.5
1990,36065,5.1
1991,37530,4.1
1992,38886,3.6
1993,39800,2.4
1994,41034,3.1
1995,41747,1.7
1996,42437,1.7
1997,42539,0.2
1998,42636,0.2
1999,41101,-3.6
2000,41369,0.7
2001,40744,-1.5
2002,40031,-1.7
2003,40762,1.8
2004,42122,3.3
2005,43385,3
2006,45620,5.2
2007,48132,5.5
2008,48776,1.3
2009,49552,1.6
2010,48028,-3.1
2011,48909,1.8
2012,50943,4.2
2013,52703,3.5
2014,53986,2.4
2015,54886,1.7
2016,54809,-0.1
2017,54550,-0.5
2018,55077,1
2019,55598,0.9
2020,55200,-0.7
2021,52159,-5.5
2022,57439,10.1
2023,57806,0.6
2024,58131,0.6
