Year,EB1,EB2,EB3,EB1.1,EB2.1,EB3.1
2006,11.7272727272727,26.1818181818181,56.3636363636363,0 years 11 months,2 years 2 months,4 years 8 months
2007,0.727272727272727,23.090909090909,54.4,0 years 0 months,1 year 11 months,4 years 6 months
2008,0.0,49.0833333333333,71.7777777777777,0 years 0 months,4 years 1 month,5 years 11 months
2009,0.0,53.75,79.4,0 years 0 months,4 years 5 months,6 years 7 months
2010,0.0,56.0,85.0,0 years 0 months,4 years 8 months,7 years 1 month
2011,0.0,56.5,85.0,0 years 0 months,4 years 8 months,7 years 1 month
2012,0.0,63.0,80.0,0 years 0 months,5 years 3 months,6 years 8 months
2016,17.6666666666666,62.2222222222222,56.4444444444444,1 year 5 months,5 years 2 months,4 years 8 months
2017,22.1666666666666,51.75,45.5833333333333,1 year 10 months,4 years 3 months,3 years 9 months
2018,45.75,47.0833333333333,42.9166666666666,3 years 9 months,3 years 11 months,3 years 6 months
2019,32.0833333333333,40.5833333333333,46.25,2 years 8 months,3 years 4 months,3 years 10 months
2020,30.5,55.0833333333333,44.75,2 years 6 months,4 years 7 months,3 years 8 months
2021,3.0,46.25,36.0,0 years 3 months,3 years 10 months,3 years 0 months
2022,0.0,38.6666666666666,50.4166666666666,0 years 0 months,3 years 2 months,4 years 2 months
2023,16.5,47.3333333333333,50.0833333333333,1 year 4 months,3 years 11 months,4 years 2 months
2024,21.0,52.2727272727272,46.9090909090909,1 year 9 months,4 years 4 months,3 years 10 months
2025,31.1666666666666,55.5833333333333,55.1666666666666,2 years 7 months,4 years 7 months,4 years 7 months
